r,Product SKU,Brand,Parent Category,Sub Category 1,Sub Category 2,Brand Category,Product Name,Weight,Dimensions,Optimised Description?,PDP?,Promo Badges,Number of Offer Categories,Bulk Pricing Rules?,Cross Sells Updated?,Number of Images,Filters Correct?,Batteries Included,Part of a Recipe?,Cost Price ex VAT,Selling Price inc VAT,Selling Price ex VAT,Sale Price inc VAT,Calculated Profit % Per Unit,Stock Value,Calculated Revenue ,Availabile Stock,Supplier Stock,Promotion Availability,On Order?,Total Sales this Year,Total Sales Last Year,Best Seller Status
1350,MAKP6843/2,Makita ,Power Tools,Screwdrivers,,Makita Autofeed Guns & Drywall Screwdrivers,Makita 6843 Auto-Feed Screwdriver 470W 240V,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,192.16,283.63,236.3583333,0,18.70%,0,0,0,0,0,0,0,0,F
1351,MAKP8406/1,Makita ,Power Tools,Diamond Core Drills,,Makita Diamond Core Drills,Makita 8406 13mm Diamond Core & Hammer Drill 850W 110V,Y,Y,,N,N,1,N,#N/A,2,,N/A,N,210.9,288.52,240.4333333,0,12.28%,0,4568.233333,0,0,0,0,1,19,D
1352,MAKP8406/2,Makita ,Power Tools,Diamond Core Drills,,Makita Diamond Core Drills,Makita 8406 Percussion Diamond Drill 850W 240V,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,203.78,293.44,244.5333333,0,16.67%,0,3178.933333,0,0,0,0,0,13,D
1353,MAKP9046/1,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,Makita 9046 Orbital Sander 600W 110V,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,157,248.69,207.2416667,0,24.24%,0,0,0,0,0,0,0,0,F
1354,MAKP9046/2,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,"Makita 9046 1/2"" Orbital Sander 600W 240V",Y,Y,,N,N,0,N,#N/A,2,,N/A,N,169,247.42,206.1833333,0,18.03%,0,0,0,0,0,0,0,0,F
1355,MAKPBO3710/1,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,"Makita BO3710 1/3"" Sheet Orbital Sander 110V",Y,Y,,N,N,0,N,#N/A,2,,N/A,N,63.49,99.04,82.53333333,0,23.07%,0,0,0,0,0,0,0,0,F
1356,MAKPBO3710/2,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,"Makita BO3710 1/3"" Sheet Orbital Sander 190W 240V",Y,Y,,N,N,0,N,#N/A,2,,N/A,N,39.22,59.77,49.80833333,0,21.26%,0,0,0,0,0,0,0,0,F
1357,MAKPRP0900X/1,Makita ,Power Tools,Routers,,Makita Routers,"Makita RP0900X 1/4"" & 3/8"" Router 900W 110V",Y,Y,,N,N,0,N,02.10.25,3,,N/A,N,107.32,148.09,123.4083333,0,13.04%,0,863.8583333,0,0,0,0,0,7,E
1358,MAKPRP0900X/2,Makita ,Power Tools,Routers,,Makita Routers,"Makita RP0900X 1/4"" & 3/8"" Router 900W 240V",Y,Y,,N,N,1,N,#N/A,3,,N/A,N,108,154.99,129.1583333,0,16.38%,0,1937.375,0,0,0,0,0,15,D
1370,MAKPBO4555/1,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,Makita BO4555 Palm Sander 200W 110V,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,50.18,80.86,67.38333333,0,25.53%,0,0,0,0,0,0,0,0,F
1371,MAKPBO4555/2,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,Makita BO4555 Palm Sander 200W 240V,Y,Y,,N,N,0,N,02.10.25,2,,N/A,N,54.07,77.86,64.88333333,0,16.67%,0,519.0666667,0,0,0,0,0,8,E
1375,MAKPLS0815FLN/1,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS0815FLN/1 216mm Slide Compound Mitre Saw 1400W 110V,Y,Y,,N,N,2,N,16.06.25,,,N/A,N,315.39,454.16,378.4666667,0,16.67%,0,2270.8,0,0,0,0,0,6,E
1376,MAKPLS1018L/2,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS1018L 260mm Slide Compound Mitre Saw with Laser 1430W 240V,Y,Y,,N,N,0,N,#N/A,,,N/A,N,422.71,583.34,486.1166667,0,13.04%,0,0,0,0,0,0,0,0,F
1483,MAKMLD050P,Makita ,Power Tools,Laser Tools,,Makita Measurement Tools,Makita LD050P 50M Laser Distance Measure,Y,Y,,N,N,0,N,02.10.25,2,,N/A,N,58.9,84.81,70.675,0,16.66%,471.18,989.45,8,0,8,35,0,14,D
1556,MAKPDSS610Z,Makita ,Power Tools,Circular Saws,,Makita Circular Saws,Makita DSS610Z LXT 18V Cordless 165mm Circular Saw (Body Only),Y,Y,,N,N,3,N,09.10.24,,,0,Y,105.76,154.99,129.1583333,0,18.12%,2326.78,47271.95,21,0,21,0,7,366,B
1557,MAKPGN900SE,Makita ,Power Tools,Nail Guns & Staple Guns,,Makita Nailers & Staple Guns,Makita GN900SE 7.2V First Fix Gas Nailer with 2x 1.0Ah Batteries,Y,Y,,N,N,0,N,#N/A,3,,2,N,344.32,480.19,400.1583333,0,13.95%,0,800.3166667,0,0,0,0,0,2,E
1558,MAKPGF600SE,Makita ,Power Tools,Nail Guns & Staple Guns,,Makita Nailers & Staple Guns,Makita GF600SE 7.2V Second Fix Gas Nailer with 2x 1.0Ah Batteries,Y,Y,,N,N,3,N,#N/A,1,,2,N,354.4,510.34,425.2833333,0,16.67%,0,6804.533333,0,0,0,0,0,16,D
1561,MAKACP-79158,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita P-79158 39PCE Screwdriver Bit Set,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,11.09,18.76,15.63333333,0,29.06%,0,0,0,0,0,0,0,0,F
1638,MAKPDHR242Z,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita DHR242Z 18V 24mm Brushless SDS+ Rotary Hammer (Body Only),Y,Y,,N,N,1,N,#N/A,3,,0,Y,127.28,184.99,154.1583333,0,17.44%,4072.87,123943.3,28,0,28,0,13,804,A
1727,MAKP4350FCT/2,Makita ,Power Tools,Jigsaws,,Makita Jigsaws,Makita 4350FCT/2 Jigsaw 720W 240V,Y,Y,,N,N,0,N,26.07.24,,,N/A,N,131.2,190.5,158.75,0,17.35%,0,317.5,0,0,0,0,0,2,E
1766,MAKMUR140DW,Makita ,Gardening,Grass Trimmers,,Makita Grass Trimmers,Makita UR140DW 14.4V Strimmer 1 x 1.5Ah Battery & FREE 1.5Ah Battery,Y,Y,,N,N,0,N,#N/A,,,2,N,20,28.8,24,19.58,16.67%,0,0,0,0,0,0,0,0,F
1780,MAKMLD080PI,Makita ,Power Tools,Laser Tools,,Makita Measurement Tools,Makita LD080PI Laser Meter,Y,Y,,N,N,0,N,#N/A,,,N/A,N,97.02,139.71,116.425,0,16.67%,485.1,582.125,5,0,5,0,0,5,E
1782,MAKPHS7601J/2,Makita ,Power Tools,Circular Saws,,Makita Circular Saws,Makita HS7601J 190mm Circular Saw with MakPac Carry Case 1200W 240V,Y,Y,,N,N,0,N,04.04.25,2,,N/A,N,108,152.93,127.4416667,0,15.26%,0,1656.741667,0,0,0,0,0,13,D
1789,MAKPDJR360ZK,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita DJR360ZK LXT Twin 18V Brushless Reciprocating Saw  (Body Only),Y,Y,,N,N,2,N,18.12.24,2,,0,N,184.68,260,216.6666667,0,14.76%,0,3250,3,0,3,0,0,15,D
1792,IMAK324,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita B-12790 Double Ended Torsion Bits Pack of 3,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,3.75,6.17,5.141666667,0,27.07%,0,0,0,0,0,0,0,0,F
1802,MAKPDTW190Z,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita DTW190Z 18V LXT 1/2"" Cordless Impact Wrench (Body Only)",Y,Y,,N,N,2,N,18.04.25,3,,0,Y,71.44,100.63,83.85833333,0,14.81%,357.2,8888.983333,5,0,5,6,3,106,C
1812,MAKPDMR200,Makita ,Power Tools,Radios & Speakers,,Makita Radios,Makita DMR200 Bluetooth Jobsite Speaker,Y,Y,,N,N,0,N,#N/A,,,N/A,N,90.11,129.76,108.1333333,0,16.67%,0,108.1333333,0,0,0,0,0,1,E
1846,MAKPDJR187Z,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita DJR187Z LXT 18V Brushless Reciprocating Saw (Body Only),Y,Y,,N,N,2,N,18.12.24,1,,0,Y,155.82,226.26,188.55,0,17.36%,1869.89,17535.15,11,0,11,40,1,93,D
1877,MAKACP-46305,Makita ,Accessories,Tool Storage,,Makita Tool Storage,Makita P-46305 Tradesman Holdall Tool Bag,Y,Y,,N,N,0,N,#N/A,3,,N/A,Y,9.73,19.96,16.63333333,0,41.50%,0,0,0,0,0,0,0,0,F
2342,MAKPDJR186Z,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita DJR186Z 18V LXT Reciprocating Saw (Body Only),Y,Y,,N,N,4,N,18.12.24,,,0,Y,65.69,99.99,83.325,0,21.16%,1707.92,47578.575,24,0,24,10,14,571,A
2348,MAKPHR2631F/1,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita HR2631F 3-Mode SDS Plus Hammer Drill 800W 110V,Y,Y,,N,N,1,N,#N/A,1,,N/A,N,119.81,179.71,149.7583333,0,20.00%,0,0,0,0,0,0,0,0,F
10947,DLX6017M,Makita ,Power Tools,Cordless Kits,,Makita Cordless Kits,Makita DLX6017M 18V LXT 6 Piece Cordless Power Tool Kit with 3x 4.0Ah Batteries,Y,Y,,N,N,2,N,#N/A,,,3,N,546.65,754.38,628.65,0,13.04%,0,1257.3,0,5,0,0,0,2,E
20038,MAKPDBO180Z,Makita ,Power Tools,Sanders,,Makita Orbital Sanders,Makita DBO180Z 18V LXT 125mm Random Orbit Sander (Body Only),Y,Y,,N,N,2,N,05.08.24,,,0,Y,77.18,112.06,93.38333333,0,17.35%,463.06,39968.06667,5,0,5,130,16,428,B
20039,MAKPTW0350/1,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita TW0350 1/2"" Drive Impact Wrench 400W 110V",Y,Y,,N,N,0,N,#N/A,3,,N/A,N,194.03,307.34,256.1166667,0,24.24%,0,0,0,0,0,0,0,0,F
20041,MAKPDFR550Z,Makita ,Power Tools,Screwdrivers,,Makita Autofeed Guns & Drywall Screwdrivers,Makita DFR550Z LXT 18V Cordless Auto-Feed Screwdriver (Body Only),Y,Y,,N,N,2,N,27.05.25,,,0,Y,180.88,255.04,212.5333333,0,14.89%,0,7651.2,3,0,3,0,0,36,D
20042,MAKPDJR183Z,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita DJR183Z 18V Cordless Mini Reciprocating Saw (Body Only),Y,Y,,N,N,0,N,18.12.24,,,0,N,81.38,117.18,97.65,103.12,16.66%,406.88,5859,5,0,5,130,1,60,D
20043,MAKPDJV181Z,Makita ,Power Tools,Jigsaws,,Makita Jigsaws,Makita DJV181Z 18V LXT Brushless Barrel Grip Jigsaw (Body Only),Y,Y,,N,N,2,N,26.07.24,,,0,N,138,200.38,166.9833333,0,17.36%,690,9017.1,5,0,5,30,1,54,D
20044,MAKPDJR185Z,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita DJR185Z 18V Cordless Mini Reciprocating Saw (Body Only),Y,Y,,N,N,0,N,18.12.24,,,0,Y,76.76,119.99,99.99166667,0,23.23%,844.36,27597.7,11,0,11,12,3,276,C
20123,MAKPDDA351Z,Makita ,Power Tools,Angle Drills,,Makita Angle Drills,Makita DDA351Z 18V LXT Cordless Angle Drill (Body Only),Y,Y,,N,N,2,N,16.04.25,2,,0,Y,148.2,209.99,174.9916667,0,15.31%,296.4,4024.808333,5,0,5,0,1,23,D
20143,MAKPDTD154Z,Makita ,Power Tools,Impact Drivers,,Makita Impact Drivers,Makita DTD154Z LXT 18V Cordless Brushless Impact Driver (Body Only),Y,Y,,N,N,5,N,29.05.25,,,0,Y,89.58,128.99,107.4916667,0,16.66%,1343.67,21713.31667,14,0,14,0,16,202,C
20157,MAKMSK102Z,Makita ,Power Tools,Laser Tools,,Makita Measurement Tools,Makita SK102Z Self Levelling Cross Line Laser Level,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,133.33,206.39,171.9916667,0,22.48%,0,0,0,0,0,0,0,0,F
20161,MAKPGA9050/1,Makita ,Power Tools,Grinders,,Makita Grinders,Makita GA9050 230mm Angle Grinder 2000W 110V,Y,Y,,N,N,0,N,02.10.25,1,,N/A,Y,89.32,128.62,107.1833333,0,16.67%,267.96,2679.583333,3,0,3,0,0,25,D
20174,MAKPHP332DSAJ,Makita ,Power Tools,Combi Drills,,Makita Combi Drills,Makita HP332DSAJ 10.8V Brushless Combi Drill with 2x 2.0Ah Batteries,Y,Y,,N,N,0,N,#N/A,,,2,N,135.17,194.64,162.2,0,16.66%,0,2108.6,0,0,0,0,0,13,D
20176,MAKPKP0800/2,Makita ,Power Tools,Planers,,Makita Planers,Makita KP0800 82mm Planer 620W 240V,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,107.52,152.25,126.875,0,15.26%,0,126.875,0,0,0,0,0,1,E
20178,MAKP6906/1,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita 6906 3/4"" Drive Impact Wrench 650W 110V",Y,Y,,N,N,0,N,#N/A,1,,N/A,N,271,390.24,325.2,0,16.67%,0,0,0,0,0,0,0,0,F
20180,MAKPDMR106,Makita ,Power Tools,Radios & Speakers,,Makita Radios,Makita DMR106 Bluetooth AM/FM Jobsite Radio,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,0,120.36,100.3,0,100.00%,0,0,0,0,0,0,0,0,F
20186,MAKGUR3000/2,Makita ,Gardening,Grass Trimmers,,Makita Grass Trimmers,Makita UR3000 300mm Corded Linetrimmer 450W 230V,Y,Y,,N,N,4,N,16.06.25,,,N/A,N,30.72,42.8,35.66666667,0,13.87%,0,2068.666667,0,0,0,0,0,58,D
20187,MAKPGA5030R/2,Makita ,Power Tools,Grinders,,Makita Grinders,Makita GA5030R 125mm Slim Angle Grinder 720W 240V,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,40.96,67.98,56.65,0,27.70%,0,0,0,0,0,0,0,0,F
20188,MAKP9557NBR/1,Makita ,Power Tools,Grinders,,Makita Grinders,Makita 9557NBR 115mm Angle Grinder 840W 110V,Y,Y,,N,N,1,N,#N/A,1,,N/A,N,52.22,75.2,62.66666667,0,16.67%,0,250.6666667,0,0,0,0,0,4,E
20189,MAKPHM0871C/1,Makita ,Power Tools,SDS Max Hammer Drills,,Makita SDS Max Hammer Drills,Makita HM0871C 110V SDS Max Demolition Hammer,Y,Y,,N,N,0,N,29.05.25,1,,N/A,N,363.46,501.58,417.9833333,0,13.04%,363.46,2089.916667,1,0,1,0,0,5,E
20190,MAKPDCL180Z,Makita ,Power Tools,Vacuums & Dust Extractors,,Makita Vacuums & Dust Extraction,Makita DCL180Z 18V LXT Vacuum Cleaner Blue (Body Only),Y,Y,,N,N,3,N,02.10.25,3,,0,Y,47.12,69.99,58.325,0,19.21%,0,7348.95,0,0,0,10,2,126,C
20193,MAKPDTM51Z,Makita ,Power Tools,Multi-Tools,,Makita Multitools,Makita DTM51Z LXT 18V Multi Tool (Body Only),Y,Y,,N,N,9,N,12.08.24,,,0,Y,89,114.99,95.825,0,7.12%,2314,72635.35,23,0,23,350,22,758,A
20194,MAKPTW1000,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita TW1000 1"" Drive Impact Wrench 1200W 110V",Y,Y,,N,N,0,N,#N/A,1,,N/A,N,435.83,653.74,544.7833333,0,20.00%,0,0,0,0,0,0,0,0,F
20206,MAKPTW0200/1,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita TW0200 1/2"" Impact Wrench 380W 110V",Y,Y,,N,N,0,N,#N/A,1,,N/A,N,156.98,203.44,169.5333333,0,7.40%,0,0,0,0,0,0,0,0,F
20208,MAKGHW101,Makita ,Gardening,Pressure Washers,,Makita Pressure Washers,Makita HW101/2 100Bar Compact Pressure Washer 1300W 240V,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,46.08,48.99,40.825,0,-12.87%,0,40.825,0,0,0,0,0,1,E
