r,Product SKU,Brand,Parent Category,Sub Category 1,Sub Category 2,Brand Category,Product Name,Weight,Dimensions,Optimised Description?,PDP?,Promo Badges,Number of Offer Categories,Bulk Pricing Rules?,Cross Sells Updated?,Number of Images,Filters Correct?,Batteries Included,Part of a Recipe?,Cost Price ex VAT,Selling Price inc VAT,Selling Price ex VAT,Sale Price inc VAT,Calculated Profit % Per Unit,Stock Value,Calculated Revenue ,Availabile Stock,Supplier Stock,Promotion Availability,On Order?,Total Sales this Year,Total Sales Last Year,Best Seller Status
131253,MAKACE-00365,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-00365 115mm X-Lock A36P Grinding Disc,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131255,MAKACE-00371,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-00371 115mm X-Lock A60T Cutting Disc,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131256,MAKACE-00418,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-00418 125MM  X-Lock A60T Cutting Disc,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131258,MAKACE-00393,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-00393 125mm X-Lock A36P Grinding Disc,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131260,MAKACE-00402,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-00402 115mm X-Lock WA36N Grinding Disc,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131261,MAKGDUB362PG2,Makita ,Gardening,Leaf Blowers,,Makita Leaf Blowers,Makita DUB362PG2 Twin 18V LXT Brushless Blower with 2x6.0Ah Batteries,Y,Y,,N,N,4,N,16.06.25,1,,2,N,340.13,469.38,391.15,0,13.04%,0,1955.75,0,0,3,0,0,5,E
131262,MAKACD-18764-10,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita D-18764-10 115x1.2x22.23 Thin Cutting Disc Pack of 10,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,1.95,2.99,2.491666667,0,21.74%,0,3251.625,91,0,91,1000,32,1305,A+
131263,MAKGDUR369APG2,Makita ,Gardening,Grass Trimmers,,Makita Grass Trimmers,Makita DUR369APG2 Twin 18V LXT Brushless Brush Cutter with 2x 6.0Ah Batteries,Y,Y,,N,N,2,N,#N/A,,,2,N,435.2,595.35,496.125,0,12.28%,0,0,0,0,0,0,0,0,F
131299,MAKACD-18770-10,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita D-18770-10 125x1.2x22.23 Thin Cutting Disc Pack of 10,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,6.47,14.52,12.1,0,46.53%,0,0,0,0,0,0,0,0,F
131300,MAKACB-10665-5,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita B-10665-5 355x3x25.4 Metal Flat Cut-Off Wheel Pack of 5,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,13.48,20.86,17.38333333,0,22.45%,0,17.38333333,0,0,0,0,0,1,E
131302,MAKAC191F81-2,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita 191F81-2 X-Lock 125mm Dust Collector,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131303,MAKACE-02054,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-02054 100mm X-Lock Concrete Diamond Wheel,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,20.07,31.31,26.09166667,0,23.08%,0,0,0,0,0,0,0,0,F
131304,MAKACE-02060,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-02060 115mm X-Lock Concrete Diamond Wheel,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,22.17,34.58,28.81666667,0,23.07%,0,0,0,0,0,0,0,0,F
131305,MAKACE-02076,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita E-02076 125mm X-Lock Diamond Wheel,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,23.76,37.06,30.88333333,0,23.07%,0,0,0,0,0,0,0,0,F
131306,MAKACP-70297,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita P-70297 Dust Disposal Bag Pack of 5,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,24.36,43.85,36.54166667,0,33.34%,0,0,0,0,0,0,0,0,F
131308,MAKACW107418355,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita W107418355 Plastic Filter Bags Pack of 5,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,10.73,24.08,20.06666667,0,46.53%,0,0,0,0,0,0,0,0,F
131309,MAKACP-70306,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita P-70306 Disposable Bag Pack of 5,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,9.71,21.79,18.15833333,0,46.53%,0,0,0,0,0,0,0,0,F
131310,MAKACP-70194,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita P-70194 Dust Bags Pack of 5,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,16.9,31.43,26.19166667,0,35.48%,0,0,0,0,0,0,0,0,F
131311,MAKACW107418353,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita W107418353 Fleece Filter Bag Pack of 5,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,16.9,33.45,27.875,0,39.37%,0,139.375,0,0,0,0,0,5,E
131312,MAKACP-70203,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita P-70203 Dust Extractor Replacement Bag Pack of 5,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,20,30,25,0,20.00%,0,0,0,0,0,0,0,0,F
131313,MAKACP-21135,Makita ,Gardening,Accessories,,Makita Garden Accessories & Parts,Makita P-21135 Semi Synthetic 2-Stroke Oil 100ml,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0.87,1.99,1.658333333,0,47.54%,0,140.9583333,0,0,0,0,0,85,D
131315,MAKACP-21157,Makita ,Gardening,Accessories,,Makita Oils & Lubricants,Makita P-21157 Semi Synthetic 2-Stroke Oil 5L,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131316,MAKACP-21200,Makita ,Gardening,Accessories,,Makita Oils & Lubricants,Makita P-21200 4-Stroke Engine Oil 1L,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131320,MAKACP-21216,Makita ,Gardening,Accessories,,Makita Oils & Lubricants,Makita P-21216 4-Stroke Engine Oil 5L,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131322,MAKACP-21163,Makita ,Gardening,Accessories,,Makita Oils & Lubricants,Makita P-21163 Chainsaw Chain Oil Non Bio 1L,Y,Y,,N,N,1,N,#N/A,1,,N/A,N,3.42,6.36,5.3,4.77,35.47%,0,0,0,0,0,0,0,0,F
131324,MAKACP-21179,Makita ,Gardening,Accessories,,Makita Oils & Lubricants,Makita P-21179 Chainsaw Chain Oil Non Bio 5l,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131326,MAKACP-21185,Makita ,Gardening,Accessories,,Makita Oils & Lubricants,Makita P-21185 Chainsaw Chain Oil Non Bio 25l,Y,Y,,N,N,0,N,#N/A,,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131329,MAKACE-01731,Makita ,Gardening,Accessories,,Makita Garden Accessories & Parts,Makita E-01731 Four-Leaf Nylon Cord 1.65-15m,Y,Y,,N,N,0,N,22.07.25,3,,N/A,N,2.11,3.43,2.858333333,0,26.18%,18.96,540.225,9,0,9,0,0,189,C
131330,MAKACE-01797,Makita ,Gardening,Accessories,,Makita Garden Accessories & Parts,Makita E-01797 Four-Leaf Nylon Cord 2.4mm-15m,Y,Y,,N,N,0,N,22.07.25,1,,N/A,N,3.31,5.37,4.475,0,26.03%,16.56,80.55,5,0,5,0,0,18,D
131332,MAKAC191E19-1,Makita ,Accessories,Power Tool Accessories,Dust Extraction Accessories,Makita Dust Collection,Makita 191E19-1 Vacuum Kit for DUB363,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,10000,8333.333333,0,100.00%,0,0,0,0,0,0,0,0,F
131333,MAKACE-01769,Makita ,Gardening,Accessories,,Makita Garden Accessories & Parts,Makita E-01769 Four-Leaf Nylon Cord 2.0-15m,Y,Y,,N,N,3,N,#N/A,3,,N/A,N,2.4,3.94,3.283333333,3.55,26.90%,55.22,111.6333333,23,0,23,0,0,34,D
131334,MAKACE-01828,Makita ,Gardening,Accessories,,Makita Garden Accessories & Parts,Makita E-01828 Four-Leaf Nylon Cord 2.7mm-15m,Y,Y,,N,N,0,N,22.07.25,1,,N/A,N,3.72,5.51,4.591666667,0,18.98%,18.62,142.3416667,5,0,5,0,0,31,D
131335,MAKACP-71691,Makita ,Accessories,Power Tool Accessories,Saw Stands,Makita Saw Stands,Makita P-71691 Smart-Holder Saw Horse,Y,Y,,N,N,0,N,#N/A,1,,N/A,N,0,99.7,83.08333333,0,100.00%,0,0,0,0,0,0,0,0,F
131659,MAKPDCE090ZX1,Makita ,Power Tools,Cut Off Saws,,Makita Cut Off Saws,Makita DCE090ZX1 Twin 18V LXT Brushless Cut Off Saw (Body Only),Y,Y,,N,N,2,N,30.05.25,,,0,N,282.72,400.33,333.6083333,0,15.25%,565.44,18682.06667,2,0,2,0,1,56,D
131840,MAKPDTD171Z,Makita ,Power Tools,Impact Drivers,,Makita Impact Drivers,Makita DTD171Z 18V LXT 4-Speed Brushless Impact Driver (Body Only),Y,Y,,N,N,2,N,#N/A,,,0,N,221.62,390.94,325.7833333,0,31.97%,0,0,0,0,0,0,0,0,F
131842,MAKPJR3051TK/2,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita JR3051TK/2 Reciprocating Saw 1200W 240V,Y,Y,,N,N,0,N,18.12.24,,,N/A,N,111.2,160.13,133.4416667,0,16.67%,0,533.7666667,0,0,0,0,0,4,E
131845,MAKAC821549-5,Makita ,Accessories,Tool Storage,,Makita Tool Storage,Makita 821549-5 Makpac Connector Stacking Case Type 1,Y,Y,,N,N,0,N,#N/A,,,N/A,Y,17.98,25.89,21.575,0,16.66%,539.39,5695.8,30,0,30,0,6,264,C
132003,MAKPDUT130Z,Makita ,Power Tools,Mixers,,Makita Mixers,Makita DUT130Z 18V LXT Brushless Mixer (Body Only),Y,Y,,N,N,2,N,#N/A,3,,0,N,201.1,289.58,241.3166667,260.62,16.67%,201.1,965.2666667,1,0,1,0,1,4,E
132175,MAKPDTW701Z,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita DTW701Z 18V LXT 1/2"" Brushless Impact Wrench (Body Only)",Y,Y,,N,N,3,N,11.03.25,,,0,N,212.04,299.99,249.9916667,0,15.18%,0,2999.9,3,0,3,0,1,12,D
132264,MAKPDML808,Makita ,Electrical & Lighting,Lighting,Site Lighting,Makita Lighting & Torches,Makita DML808 14.4V/18V LED Torch (Body Only),Y,Y,,N,N,7,N,02.10.25,,,0,Y,29.3,45.7,38.08333333,0,23.06%,58.59,647.4166667,2,0,2,0,0,17,D
132319,MAKACP-83886,Makita ,Accessories,Tool Storage,,Makita Tool Storage,Makita P-83886 Makpac Wheeled Base,Y,Y,,N,N,0,N,#N/A,,,N/A,N,48.77,70,58.33333333,0,16.39%,292.65,2391.666667,6,0,6,0,1,41,D
132320,MAKACP-83652,Makita ,Accessories,Tool Storage,,Makita Tool Storage,Makita P-83652 Makpac Insert With Coloured Compartments,Y,Y,,N,N,6,N,#N/A,,,N/A,N,12.24,18.36,15.3,16.52,20.00%,0,459,0,0,0,0,0,30,D
132321,MAKACP-83842,Makita ,Accessories,Tool Storage,,Makita Tool Storage,Makita P-83842 Makpac Stackable Tool Box,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,30.39,47.41,39.50833333,0,23.08%,30.39,2212.466667,1,0,1,5,0,56,D
132323,MAKPLS1019L/1,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS1019L/1 260mm Slide Compound Mitre Saw with Laser 1510W 110V,Y,Y,,N,N,0,N,30.05.25,,,N/A,N,615.22,849,707.5,0,13.04%,0,707.5,0,0,0,0,0,1,E
132325,MAKPLS1019L/2,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS1019L/2 260mm Slide Compound Mitre Saw with Laser 1510W 240V,Y,Y,,N,N,0,N,30.05.25,,,N/A,N,601,865.44,721.2,0,16.67%,601,8654.4,1,0,1,0,0,12,D
132326,MAKACD-47363,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita D-47363 Forstner Drill Bit Set (5 Pieces),Y,Y,,N,N,0,N,#N/A,,,N/A,N,12.69,17.95,14.95833333,0,15.16%,38.07,403.875,2,0,2,0,2,27,D
132327,MAKPLS1019/1,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS1019/1 260mm Slide Compound Mitre Saw 1510W 110V,Y,Y,,N,N,0,N,30.05.25,,,N/A,N,574.26,792.48,660.4,0,13.04%,0,1981.2,0,0,0,0,0,3,E
132336,MAKPDBS180Z,Makita ,Power Tools,Sanders,,Makita Belt Sanders,Makita DBS180Z 18V LXT Cordless Belt Sander (Body Only),Y,Y,,N,N,2,N,02.10.25,,,0,N,189.6,273.02,227.5166667,0,16.67%,0,2275.166667,0,0,0,3,0,10,E
132337,MAKACD-46408,Makita ,Accessories,Power Tool Accessories,Circular Saw Blades,Makita Circular Saw/TCT Blades,Makita D-46408 260 x 30mm 60T TCT Saw Blade,Y,Y,,N,N,0,N,#N/A,,,N/A,N,17.97,37.52,31.26666667,0,42.53%,0,0,0,0,0,0,0,0,F
132338,HR1840BUNDLE,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita HR1840 SDS+ Rotary Hammer Drill 450W 230V Bundle,Y,Y,,N,N,2,N,#N/A,,,N/A,N,7110.6,11177.86,9314.883333,0,23.66%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
132339,MAKGHW1200,Makita ,Gardening,Pressure Washers,,Makita Pressure Washers,Makita HW1200 Pressure Washer 120Bar 240V,Y,Y,,N,N,5,N,22.07.25,,,N/A,N,240.57,346.42,288.6833333,290.99,16.67%,481.14,288.6833333,2,0,2,0,0,1,E
132341,MAKPLS1019/2,Makita ,Power Tools,Mitre Saws,,Makita Mitre Saws,Makita LS1019/2 260mm Slide Compound Mitre Saw 1510W 240V,Y,Y,,N,N,0,N,30.05.25,,,N/A,N,574.26,758.02,631.6833333,0,9.09%,0,4421.783333,0,0,0,0,0,7,E
132342,MAKGHW1300,Makita ,Gardening,Pressure Washers,,Makita Pressure Washers,Makita HW1300 Pressure Washer 130Bar 240V,Y,Y,,N,N,0,N,22.07.25,,,N/A,N,284.06,409.04,340.8666667,0,16.67%,0,340.8666667,0,0,0,0,0,1,E
132816,MAKACE-15154,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15154 Drill Holster Universal L/R Handed,Y,Y,,N,N,15,N,#N/A,3,,N/A,N,15.88,24.77,20.64166667,0,23.07%,0,495.4,0,0,0,0,0,24,D
132817,MAKACE-15176,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-05119 Impact Driver Holster L/R Hand,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,9.17,14.99,12.49166667,0,26.59%,100.85,324.7833333,11,0,11,0,1,26,D
132819,MAKACE-15182,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15182 Universal Pouch & Drill Holster L/R Handed,Y,Y,,N,N,14,N,#N/A,,,N/A,N,27.63,40.8,34,34.68,18.74%,55.26,510,2,0,2,0,0,15,D
132821,MAKACE-15198,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15198 Ultimate 2 Pocket Fixing Pouch,Y,Y,,N,N,6,N,#N/A,,,N/A,N,20.06,31.29,26.075,0,23.07%,40.12,2477.125,2,0,2,5,3,95,D
132822,MAKACE-15279,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15279 Ultimate 4-Way Electricians Holder,Y,Y,,N,N,9,N,#N/A,,,N/A,N,14.16,21.07,17.55833333,17.91,19.35%,0,158.025,0,0,0,0,0,9,E
132823,MAKACE-15207,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15207 Ultimate 3 Pocket Fixing Pouch,Y,Y,,N,N,6,N,#N/A,,,N/A,N,26.21,39.98,33.31666667,0,21.33%,78.62,4097.95,3,0,3,0,2,123,C
132824,MAKACE-15615,Makita ,"PPE, Workwear & Safety",Accessories,,Makita Workwear & PPE,Makita E-15615 Knee Pad Set,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,20.17,29.05,24.20833333,0,16.68%,0,1573.541667,0,0,0,5,0,65,D
132825,MAKACE-15213,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15213 Roofers & General Purpose Pouch,Y,Y,,N,N,15,N,#N/A,2,,N/A,N,34.62,49.85,41.54166667,0,16.66%,0,1703.208333,0,0,0,0,0,41,D
132827,MAKACE-15229,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15229 3 Pouch Tool Belt Set,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,58.07,90.59,75.49166667,0,23.08%,232.29,9285.475,4,0,4,5,5,123,C
132831,MAKACE-15235,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15235 Ultimate Heavy-Weight Tool Belt Set,Y,Y,,N,N,15,N,#N/A,,,N/A,N,60.68,90,75,0,19.09%,667.5,5400,11,0,11,0,1,72,D
132834,MAKACE-15241,Makita ,Accessories,Tool Storage,,Makita Holsters,Makita E-15241 Ultimate Electricians Pouch,Y,Y,,N,N,5,N,#N/A,,,N/A,N,22.29,34.24,28.53333333,0,21.88%,0,542.1333333,0,0,0,0,0,19,D
132836,MAKACE-15562,Makita ,Accessories,Tool Storage,,Makita Miscellaneous,Makita E-15562 Thermal Flask & Holder,Y,Y,,N,N,2,N,#N/A,,,N/A,N,14,22.68,18.9,20.64,25.93%,42,831.6,3,0,3,0,0,44,D
132838,MAKACE-05402,Makita ,"PPE, Workwear & Safety",Accessories,,Makita Workwear & PPE,Makita E-05402 Ultimate Braces With Clips,Y,Y,,N,N,9,N,#N/A,3,,N/A,N,11.3,16.95,14.125,0,20.00%,11.3,1228.875,1,0,1,5,1,87,D
132840,MAKACE-05337,Makita ,"PPE, Workwear & Safety",Belts,,Makita Holsters,Makita E-05337 Quick Release Belt & Belt Loop,Y,Y,,N,N,8,N,#N/A,,,N/A,N,8.49,12.8,10.66666667,0,20.41%,50.92,1397.333333,5,0,5,0,2,131,C
132844,MAKACE-15366,Makita ,"PPE, Workwear & Safety",Belts,,Makita Holsters,Makita E-15366 Ultimate Padded Belt & Loop,Y,Y,,N,N,0,N,#N/A,3,,N/A,N,25.96,40.5,33.75,0,23.08%,0,4860,0,0,0,10,5,144,C
133646,MAKACD-18764100,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita D-18764-100 115mm Thin Cutting Discs in Tub 100pcs,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,34.18,53.32,44.43333333,0,23.08%,170.91,3599.1,1,0,1,0,4,81,D
133717,MAKPTW001GD201,Makita ,Power Tools,Impact Wrenches,,XGT 40V | 80V Max Impact Wrenches,"Makita TW001GD201 40V Max XGT 3/4"" Brushless Impact Wrench with 2x 2.5Ah Battery",Y,Y,,N,N,0,N,29.11.24,,,2,N,394.17,558.14,465.1166667,0,15.25%,0,930.2333333,0,0,1,0,0,2,E
133783,MAKACD-18770100,Makita ,Accessories,Power Tool Accessories,Abrasives,Makita Abrasives,Makita D-18770-100 125mm Thin Cutting Discs Tub with 100pcs,N,N,,N,N,2,N,#N/A,2,,N/A,N,35.94,56.07,46.725,53.27,23.08%,0,1074.675,0,0,0,0,0,23,D
134076,BDTW285Z,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita DTW285Z Cordless LXT Brushless 1/2"" Impact Wrench Kit with 1x 3.0Ah Battery",Y,Y,,N,N,3,N,#N/A,,,1,N,112.53,186.34,155.2833333,0,27.53%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134078,BDTW300Z,Makita ,Power Tools,Impact Wrenches,,Makita Impact Wrenches,"Makita DTW300Z Cordless 18V LXT Brushless 1/2"" Impact Wrench Kit with 1x 3.0Ah Battery",Y,Y,,N,N,3,N,#N/A,,,1,N,190.21,289.87,241.5583333,0,21.26%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134079,BDTD153Z,Makita ,Power Tools,Impact Drivers,,Makita Impact Drivers,Makita DTD153Z 18V Brushless Impact Driver with 1x 3.0Ah Battery & B-28597 Torsion Bit Set,Y,Y,,N,N,1,N,#N/A,,,1,N,129.07,213.75,178.125,0,27.54%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134080,BDTD154Z,Makita ,Power Tools,Impact Drivers,,Makita Impact Drivers,Makita DTD154Z 18V Brushless Impact Driver with 1x 3.0Ah Battery & B-66896 Screwdriver Bit Set,Y,Y,,N,N,1,N,#N/A,,,1,N,168.19,256.32,213.6,0,21.26%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134083,BDTM51Z,Makita ,Power Tools,Multi-Tools,,Makita Multitools,Makita DTM51Z Cordless LXT 18V Multi-Tool Kit with 1x 3.0Ah Battery,Y,Y,,N,N,3,N,#N/A,,,1,N,152.67,243.67,203.0583333,0,24.81%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134085,BDTM50Z,Makita ,Power Tools,Multi-Tools,,Makita Multitools,Makita DTM50Z Cordless 18v LXT Oscillating Multi-Tool Kit with 1x 3.0Ah Battery,Y,Y,,N,N,3,N,#N/A,,,1,N,159.84,247.43,206.1916667,0,22.48%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134092,BDHP482Z,Makita ,Power Tools,Combi Drills,,Makita Combi Drills,Makita DHP482Z LXT 18V Cordless 2 Speed Combi Drill Bundle with 1x 3.0Ah Battery,Y,Y,,N,N,3,N,#N/A,,,1,N,109.38,171.95,143.2916667,0,23.67%,0,0,0,0,0,0,0,0,F
134093,BDGA456Z,Makita ,Power Tools,Grinders,,Makita Grinders,Makita DGA456Z Cordless 18V 115mm Brushless Angle Grinder Bundle 1x 3.0Ah Battery,Y,Y,,N,N,2,N,#N/A,,,1,N,185.32,306.89,255.7416667,0,27.54%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134094,BDGA467Z,Makita ,Power Tools,Grinders,,Makita Grinders,Makita DGA467Z 18V Cordless Angle Grinder 115mm Bundle 1x 3.0Ah Battery,Y,Y,,N,N,2,N,#N/A,,,1,N,232.4,384.85,320.7083333,0,27.54%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134095,BDGA513Z,Makita ,Power Tools,Grinders,,Makita Grinders,Makita DGA513Z Cordless 18V 125mm Brushless Angle Grinder Bundle with 1x 3.0Ah Battery,Y,Y,,N,N,1,N,#N/A,,,1,N,235.45,389.91,324.925,0,27.54%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134096,BDHR242Z,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita DHR242Z Brushless Cordless 18V SDS+ Rotary Hammer Drill with 1x 3.0Ah Battery,Y,Y,,N,N,2,N,#N/A,,,1,N,185.51,293.85,244.875,0,24.24%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134097,BDHS680Z,Makita ,Power Tools,Circular Saws,,Makita Circular Saws,Makita DHS680Z 18V LXT Brushless 165mm Circular Saw with 1x 3.0Ah Battery,Y,Y,,N,N,3,N,#N/A,,,1,N,208.29,344.93,287.4416667,0,27.54%,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,
134158,MAKPDMR115B,Makita ,Power Tools,Radios & Speakers,,Makita Radios,Makita DMR115B 12V CXT/18V LXT DAB/DAB+ Bluetooth Radio,Y,Y,,N,N,2,N,#N/A,,,N/A,N,111.62,160.73,133.9416667,0,16.67%,0,0,0,0,0,0,0,0,F
134160,MAKPDCM501ZAR,Makita ,Power Tools,Misc,,Makita Jobsite Accessories,Makita DCM501ZAR 10.8V CXT/18V LXT Cordless Red Coffee Maker Body Only (Limited Edition),Y,Y,,N,N,8,N,#N/A,2,,0,N,55.22,79.52,66.26666667,0,16.67%,0,2186.8,0,0,0,0,0,33,D
134161,MAKPSK105DZ,Makita ,Power Tools,Laser Tools,,Makita Measurement Tools,Makita SK105DZ 12V Max CXT Self Levelling Red Laser Level (Body Only),Y,Y,,N,N,1,N,02.10.25,,,0,N,99,149.99,124.9916667,0,20.79%,990,249.9833333,9,0,9,0,1,2,E
134162,MAKPCLX224AJ,Makita ,Power Tools,Cordless Kits,,Makita Cordless Kits,Makita CLX224AJ 12V Max Impact & Drill Driver Combo Kit with 2x 2.0Ah Batteries,Y,Y,,N,N,1,N,#N/A,,,2,N,105.84,154.11,128.425,0,17.59%,0,11301.4,0,0,0,3,1,88,D
134163,MAKPDEBWST06,Makita ,Accessories,Power Tool Accessories,Saw Stands,Makita Saw Stands,Makita DEBWST06 Mitre Saw Stand,Y,Y,,N,N,0,N,30.05.25,2,,N/A,Y,92.16,129.99,108.325,0,14.92%,0,13107.325,0,0,0,5,1,121,C
134168,MAKACE-03109,Makita ,Accessories,Power Tool Accessories,Drill Bits & Chisels,Makita Drill Bits,Makita E-03109 Impact Black Bit Set In Plastic Case 90pcs,Y,Y,,N,N,0,N,#N/A,2,,N/A,N,29.13,45.44,37.86666667,0,23.07%,58.26,2802.133333,2,0,2,0,2,74,D
134509,MAKGDUR369AZ,Makita ,Gardening,Grass Trimmers,,Makita Grass Trimmers,Makita DUR369AZ Twin 18V LXT Brushless Brush Cutter (Body Only),Y,Y,,N,N,4,N,14.04.25,,,0,N,247.81,356.84,297.3666667,0,16.67%,0,9515.733333,0,0,0,0,0,32,D
135001,MAKPJR3051TK/1,Makita ,Power Tools,Reciprocating Saws,,Makita Reciprocating Saws,Makita JR3051TK/1 Reciprocating Saw 1200W 110V,Y,Y,,N,N,0,N,18.12.24,,,N/A,N,111.2,160.13,133.4416667,144.12,16.67%,0,934.0916667,0,0,0,0,1,7,E
135213,MAKPHR3210FCT/1,Makita ,Power Tools,SDS+ Hammer Drills,,Makita SDS+ Rotary Hammer Drills,Makita HR3210FCT 32mm SDS+ Rotary Hammer 850W 110V,Y,Y,,N,N,1,N,29.05.25,3,,N/A,N,451.38,595.82,496.5166667,0,9.09%,0,1489.55,0,0,0,0,0,3,E
